MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
DMNH,33863,12.357,50.167,28.333,2.353,3.823,5.627,1.267,5.677,F, Las Delicias al N de Ciudad Cuauhtémoc,Chiapas,La Trinitaria,México,15.9689209,-91.8625259,"Ramirez V., Abraham",07/10/64,affinis,
DMNH,33864,12.907,51.167,28.167,NA,NA,6.713,1.697,5.41,F, Las Delicias al N de Ciudad Cuauhtémoc,Chiapas,La Trinitaria,México,15.9689209,-91.8625259,"Ramirez V., Abraham",17/10/64,affinis,
DMNH,33865,12.61,52,28,2.463,3.933,6.19,1.86,5.52,F,"Al N de Ciudad Cuauhtemoc; en la frontera con Guatemala, Siénega de Miramar",Chiapas,,México,16,-91.75,"Ramirez V., Abraham",29/04/64,affinis,
DMNH,33866,12.42,53,28.667,2.537,3.963,6.123,1.9,5.627,M,Al E de Pijijiapan,Chiapas,,México,15.6858333,-93.1419444,"Ramirez V., Abraham",12/11/64,affinis,
DMNH,33867,12.527,55.333,29.667,2.627,3.987,6.067,2.053,6.1,F,Al E de Pijijiapan,Chiapas,,México,15.6858333,-93.1419444,"Ramirez V., Abraham",08/11/64,affinis,
DMNH,33868,12.3,54,27.333,2.68,4.153,6.57,1.63,6.003,M,2.5 km al E Pijijiapan; Rancho el Parral,Chiapas,,México,15.6825227,-93.1718489,"Ramirez V., Abraham",10/10/65,affinis,
DMNH,33870,12.597,52.167,27.667,2.65,4.09,6.497,1.767,5.68,F,"Mexico Chiapas: Pijijiapan, E",Chiapas,,México,15.6858333,-93.1419444,"Ramirez V., Abraham",13/11/64,affinis,
DMNH,33872,13.023,53.833,31,2.697,4.097,6.453,1.767,5.947,F,Finca Guatimoc; 4.4 mi al N de Cacahoatán,Chiapas,,México,15.0625,-92.1536111,"Phillips, Allan",19/09/59,affinis,
CNAIB,P015615,13.71,51.333,29.667,2.25,3.983,6.333,1.687,5.783,F,2.1 km al Se de Tonalá,Chiapas,Tonalá,México,ND,ND,Alfred L. Garner,12/12/60,affinis,
CNAIB,P015620,13.683,51,28,2.463,4.057,NA,1.433,6,F,Mapastepec,Chiapas,,México,ND,ND,Juan Nava,25/12/71,affinis,
CNAIB,P015609,12.717,53.333,29.333,2.493,4.173,6.883,1.843,6.12,M,"Distrito Soconusco, Finca Esperanza",Chiapas,Escuintla,México,ND,ND,P. Brod Korb,12/10/37,affinis,
LSUMH,30269,13.4,53.803,27.5,2.51,4.203,6.327,1.813,5.89,M,3 mi al E de Choluteca,Choluteca,Choluteca,Honduras,13.303719,-87.13459,,,affinis,
LSUMH,30270,13.32,53.12,26.167,2.9,4.53,7.203,2.163,6.057,M,5 mi al SE de Namasigüe,Choluteca,Choluteca,Honduras,13.14797,-87.18573,,,affinis,
LSUMH,48110,13.507,55.477,NA,3.063,4.613,6.603,2.767,6.3,F,19 km al SE de Colima,Colima,,México,19.125258,-103.607631,,,godmani,
LSUMH,48109,11.977,55.183,27.5,NA,NA,6.487,2.173,6.183,M,18 km al SE de Colima,Colima,,México,19.125258,-103.607631,,,godmani,
LSUMH,48111,11.62,52.73,29.167,2.68,4.493,6.42,2.01,6.173,M,20 km al SE de Colima,Colima,,México,19.125258,-103.607631,,,godmani,
CNAIB,P015604,12.717,52.667,28.833,2.653,4.337,6.433,1.97,5.817,M,Pueblo Juárez,Colima,,México,ND,ND,W.J.Schaldack,28/09/58,godmani,
MLZ,26652,12.29,49.943,26.333,2.957,4.88,6.56,1.19,6.247,M,Cofradía,Cortés,,Honduras,14.2333341,-88.2166634,C.F. Underwood,06/03/33,affinis,
MLZ,26653,12.69,50.383,25.333,2.95,4.923,6.843,1.417,6.497,M,Cofradía,Cortés,,Honduras,14.2333341,-88.2166634,C.F. Underwood,12/03/33,affinis,
